codigo;estabelecimento_prisional;sexo;faixa_etaria_01_jan;ano_registro;mes_numerico_01;mes_registro_01;qtde
1;Apac Campo Belo I;Feminino;Faixa Etária 30 a 34 anos;2022;1;jan;1,0
1;Apac Campo Belo I;Masculino;Faixa Etária 20 a 24 anos;2022;1;jan;18,0
1;Apac Campo Belo I;Masculino;Faixa Etária 25 a 29 anos;2022;1;jan;29,0
1;Apac Campo Belo I;Masculino;Faixa Etária 30 a 34 anos;2022;1;jan;13,0
1;Apac Campo Belo I;Masculino;Faixa Etária 35 a 39 anos;2022;1;jan;17,0
1;Apac Campo Belo I;Masculino;Faixa Etária 40 a 44 anos;2022;1;jan;6,0
1;Apac Campo Belo I;Masculino;Faixa Etária 45 a 49 anos;2022;1;jan;6,0
1;Apac Campo Belo I;Masculino;Faixa Etária 50 a 54 anos;2022;1;jan;5,0
1;Apac Campo Belo I;Masculino;Faixa Etária 60 a 64 anos;2022;1;jan;4,0
2;Apac Viçosa I;Masculino;Faixa Etária 20 a 24 anos;2022;1;jan;2,0
2;Apac Viçosa I;Masculino;Faixa Etária 25 a 29 anos;2022;1;jan;10,0
2;Apac Viçosa I;Masculino;Faixa Etária 30 a 34 anos;2022;1;jan;9,0
2;Apac Viçosa I;Masculino;Faixa Etária 35 a 39 anos;2022;1;jan;8,0
2;Apac Viçosa I;Masculino;Faixa Etária 40 a 44 anos;2022;1;jan;3,0
2;Apac Viçosa I;Masculino;Faixa Etária 45 a 49 anos;2022;1;jan;4,0
2;Apac Viçosa I;Masculino;Faixa Etária 50 a 54 anos;2022;1;jan;2,0
2;Apac Viçosa I;Masculino;Faixa Etária 55 a 59 anos;2022;1;jan;1,0
2;Apac Viçosa I;Masculino;Faixa Etária 60 a 64 anos;2022;1;jan;2,0
2;Apac Viçosa I;Masculino;Faixa Etária 65 a 69 anos;2022;1;jan;
2;Apac Viçosa I;Masculino;Faixa Etária 70 a 74 anos;2022;1;jan;1,0
2;Penitenciária de Contagem I - Nelson Hungria;Feminino;Faixa Etária 40 a 44 anos;2022;1;jan;
2;Penitenciária de Contagem I - Nelson Hungria;Masculino;Faixa Etária 18 a 19 anos;2022;1;jan;6,0
2;Penitenciária de Contagem I - Nelson Hungria;Masculino;Faixa Etária 20 a 24 anos;2022;1;jan;381,0
2;Penitenciária de Contagem I - Nelson Hungria;Masculino;Faixa Etária 25 a 29 anos;2022;1;jan;750,0
2;Penitenciária de Contagem I - Nelson Hungria;Masculino;Faixa Etária 30 a 34 anos;2022;1;jan;539,0
2;Penitenciária de Contagem I - Nelson Hungria;Masculino;Faixa Etária 35 a 39 anos;2022;1;jan;365,0
2;Penitenciária de Contagem I - Nelson Hungria;Masculino;Faixa Etária 40 a 44 anos;2022;1;jan;250,0
2;Penitenciária de Contagem I - Nelson Hungria;Masculino;Faixa Etária 45 a 49 anos;2022;1;jan;106,0
2;Penitenciária de Contagem I - Nelson Hungria;Masculino;Faixa Etária 50 a 54 anos;2022;1;jan;50,0
2;Penitenciária de Contagem I - Nelson Hungria;Masculino;Faixa Etária 55 a 59 anos;2022;1;jan;30,0
2;Penitenciária de Contagem I - Nelson Hungria;Masculino;Faixa Etária 60 a 64 anos;2022;1;jan;13,0
2;Penitenciária de Contagem I - Nelson Hungria;Masculino;Faixa Etária 65 a 69 anos;2022;1;jan;4,0
2;Penitenciária de Contagem I - Nelson Hungria;Masculino;Faixa Etária 70 a 74 anos;2022;1;jan;1,0
3;Apac Itaúna I;Masculino;Faixa Etária 18 a 19 anos;2022;1;jan;
3;Apac Itaúna I;Masculino;Faixa Etária 20 a 24 anos;2022;1;jan;18,0
3;Apac Itaúna I;Masculino;Faixa Etária 25 a 29 anos;2022;1;jan;40,0
3;Apac Itaúna I;Masculino;Faixa Etária 30 a 34 anos;2022;1;jan;32,0
